authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Deb, S.",DRDO Defence Metallurgical Research Laboratory,ind,116,1959,2017,"43,549","5,145",35,15.6262,26,"1,910",35,"2,244",102,"4,706",3.7478,"4,003",1.2853,96,3.90%,"51,409","5,354",35,15.8262,26,"1,933",35,"2,273",102,"4,889",3.7423,"4,092",1.3084,97,0,0,0,Applied Physics,0.5128,Energy,0.2735,Physics & Astronomy,0.5556,"1,351","1,094","304,738"
"Gupta, Rakesh Kumar",Fortis Memorial Research Institute,ind,515,1975,2024,"43,601","15,232",56,25.7233,14,54,117,"2,618",294,"6,188",3.7475,"12,134",1.2553,448,11.41%,"42,987","17,193",61,27.8138,14,60,117,"2,997",294,"7,027",3.7974,"12,957",1.3269,449,0,0,5,Nuclear Medicine & Medical Imaging,0.4155,Neurology & Neurosurgery,0.1942,Clinical Medicine,0.9107,281,291,"116,246"
"Ghosh, Swapan K.",University of Mumbai,ind,320,1975,2023,"43,746","8,173",42,29.7179,21,213,62,"1,371",277,"6,665",3.7464,"6,304",1.2965,284,14.54%,"39,031","9,564",47,33.5012,21,273,62,"1,561",277,"7,857",3.8261,"6,788",1.4090,292,0,0,8,Chemical Physics,0.4127,Fluids & Plasmas,0.0794,Physics & Astronomy,0.6667,903,917,"106,831"
"Dhar, Deepak",Indian Institute of Science Education and Research Pune,ind,170,1976,2024,"43,843","4,068",31,22.0333,42,"1,540",76,"2,476",145,"3,604",3.7457,"2,579",1.5774,144,12.89%,"43,290","4,670",35,24.1167,42,"1,608",76,"2,678",145,"4,014",3.7954,"2,800",1.6679,151,0,0,0,Fluids & Plasmas,0.5000,Mathematical Physics,0.1353,Physics & Astronomy,0.9471,386,370,"52,450"
"Panda, Sidhartha",VSS University of Technology,ind,235,2006,2024,"43,932","7,201",43,23.6833,8,425,43,"1,755",182,"4,677",3.7451,"4,013",1.7944,210,16.75%,"39,059","8,650",47,25.6833,8,552,43,"2,141",182,"5,769",3.8259,"4,293",2.0149,218,0,0,11,Energy,0.3489,Artificial Intelligence & Image Processing,0.2809,Enabling & Strategic Technologies,0.3745,480,529,"313,936"
"Maiti, Debabrata",Indian Institute of Technology Bombay,ind,291,2004,2024,"44,162","11,839",62,30.9976,4,36,28,"1,429",234,"10,561",3.7434,"7,483",1.5821,256,12.78%,"44,897","13,574",69,32.7234,4,36,28,"1,632",234,"12,044",3.7844,"7,945",1.7085,260,0,0,4,Organic Chemistry,0.6458,General Chemistry,0.2049,Chemistry,0.9688,892,836,"170,049"
"Patra, Amitava",Indian Association for the Cultivation of Science,ind,264,1992,2024,"44,247","9,869",55,30.4468,3,61,27,"1,674",227,"8,370",3.7428,"8,432",1.1704,239,15.08%,"43,035","11,622",58,32.7802,3,74,27,"1,855",227,"9,924",3.7971,"8,899",1.3060,249,0,0,3,Physical Chemistry,0.2955,Applied Physics,0.1591,Chemistry,0.4053,147,152,"40,704"
"Agarwal, Shilpi",University of Petroleum and Energy Studies,ind,290,2006,2024,"44,357","23,085",72,27.7555,1,43,36,"1,107",74,"5,587",3.7420,"16,687",1.3834,267,11.79%,"46,817","26,170",78,28.9579,1,43,36,"1,234",74,"6,235",3.7717,"17,712",1.4775,271,1,72,20,Chemical Physics,0.3414,Energy,0.1000,Physics & Astronomy,0.3621,"1,050",931,"106,831"
"Patwardhan, Bhushan",Savitribai Phule Pune University,ind,202,1988,2024,"44,781","6,342",43,19.1482,43,479,91,"2,395",174,"5,358",3.7391,"5,059",1.2536,168,11.63%,"44,014","7,177",44,21.3398,43,578,91,"2,695",174,"6,015",3.7902,"5,293",1.3559,172,0,0,6,Medicinal & Biomolecular Chemistry,0.1269,Complementary & Alternative Medicine,0.0812,Chemistry,0.4365,141,138,"105,998"
"Govindarajan, Marimuthu",Annamalai University,ind,238,2005,2024,"44,919","6,030",46,24.9687,11,378,65,"2,411",123,"3,132",3.7380,"4,326",1.3939,218,25.36%,"30,793","8,079",57,27.9032,11,595,65,"3,513",123,"4,448",3.8952,"4,683",1.7252,223,0,0,20,Mycology & Parasitology,0.1303,Environmental Sciences,0.1008,Biomedical Research,0.2815,48,67,"26,928"
"Banerjee, Rabin",S. N. Bose National Centre for Basic Sciences,ind,189,1982,2024,"45,124","4,327",35,24.6167,35,418,169,"4,065",180,"4,213",3.7368,"2,349",1.8421,166,19.00%,"38,466","5,342",39,28.6167,35,503,169,"4,973",180,"5,173",3.8302,"2,634",2.0281,177,0,0,1,Nuclear & Particle Physics,0.8995,Mathematical Physics,0.0423,Physics & Astronomy,1.0000,664,684,"151,105"
"Singh, Surinder P.",CSIR-National Physical Laboratory,ind,426,1983,2024,"45,337","14,625",62,27.1747,5,123,41,888,190,"4,896",3.7354,"12,221",1.1967,360,14.86%,"44,371","17,178",69,29.1485,5,124,41,"1,061",190,"5,725",3.7880,"13,635",1.2598,371,0,0,14,Building & Construction,0.1378,Plant Biology & Botany,0.1354,Enabling & Strategic Technologies,0.2257,88,90,"43,481"
"Vinodh, S.",National Institute of Technology Tiruchirappalli,ind,248,2006,2024,"45,465","6,225",43,27.5333,7,134,120,"3,705",201,"5,059",3.7345,"4,612",1.3497,219,11.24%,"44,407","7,013",46,29.9833,7,161,120,"4,150",201,"5,755",3.7877,"4,906",1.4295,219,0,0,6,Business & Management,0.3239,Environmental Sciences,0.1700,Economics & Business,0.3360,408,472,"57,191"
"Perumal, Siddhuraju",Bharathiar University,ind,79,1992,2024,"45,521","6,716",39,22.0333,2,293,27,"3,699",49,"4,453",3.7340,"5,699",1.1785,76,4.70%,"51,822","7,047",40,22.7000,2,303,27,"3,864",49,"4,637",3.7399,"5,818",1.2112,78,0,0,4,Food Science,0.6456,Fisheries,0.0759,"Agriculture, Fisheries & Forestry",0.7342,234,197,"84,371"
"Patil, K. C.",Indian Institute of Science,ind,152,1966,2015,"45,574","7,520",40,24.8762,3,207,40,"2,321",132,"6,444",3.7337,"5,766",1.3042,142,6.70%,"50,918","8,060",42,25.4595,3,217,40,"2,411",132,"6,801",3.7451,"5,926",1.3601,147,0,0,2,Materials,0.3576,Inorganic & Nuclear Chemistry,0.2583,Enabling & Strategic Technologies,0.4967,679,576,"299,561"
"Dhiman, Gaurav",Lovely Professional University,ind,263,2006,2024,"45,694","7,791",39,19.9659,10,211,67,"4,274",139,"5,939",3.7328,"5,599",1.3915,226,18.26%,"37,314","9,532",47,24.0254,10,251,67,"4,990",139,"7,137",3.8394,"5,984",1.5929,230,2,32,161,Artificial Intelligence & Image Processing,0.2700,Networking & Telecommunications,0.0837,Information & Communication Technologies,0.4867,756,947,"399,064"
"Borkar, Vivek",Indian Institute of Technology Bombay,ind,305,1977,2024,"45,736","5,467",31,23.8667,68,993,164,"2,281",236,"3,238",3.7326,"4,569",1.1965,225,14.58%,"43,458","6,400",34,25.0667,68,"1,173",164,"2,697",236,"3,911",3.7942,"4,964",1.2893,245,0,0,1,Industrial Engineering & Automation,0.3721,Networking & Telecommunications,0.1694,Engineering,0.4950,344,352,"113,906"
"Jagetia, G. C.","Kasturba Medical College, Manipal",ind,146,1981,2024,"45,774","4,737",39,22.8948,10,338,108,"4,080",125,"4,310",3.7323,"3,720",1.2734,132,12.21%,"46,297","5,396",42,24.5948,10,350,108,"4,652",125,"4,923",3.7749,"3,890",1.3871,133,0,0,3,Oncology & Carcinogenesis,0.2671,Toxicology,0.2329,Clinical Medicine,0.5342,"1,938","1,992","334,837"
"Yegnanarayana, B.","International Institute of Information Technology, Hyderabad",ind,320,1972,2023,"46,057","6,934",44,26.5667,16,254,70,"1,507",281,"5,768",3.7305,"4,693",1.4775,270,17.92%,"41,979","8,448",49,29.7333,16,276,70,"1,777",281,"7,170",3.8046,"5,083",1.6620,278,0,0,4,Speech-Language Pathology & Audiology,0.3375,Artificial Intelligence & Image Processing,0.2406,Information & Communication Technologies,0.4063,33,33,"11,965"
"Kumar, Neeraj",Thapar Institute of Engineering & Technology,ind,952,1994,2024,"46,118","30,003",89,45.9159,3,1,82,"1,752",396,"10,659",3.7300,"22,302",1.3453,848,16.59%,"42,797","35,971",100,50.5754,3,1,82,"2,321",396,"12,797",3.7986,"23,998",1.4989,871,0,0,143,Networking & Telecommunications,0.5159,Artificial Intelligence & Image Processing,0.0983,Information & Communication Technologies,0.7579,349,382,"206,482"
"Sankara Narayanan, T. S.N.",University of Madras,ind,178,1990,2024,"46,223","7,008",46,21.4857,21,490,60,"2,071",94,"3,144",3.7294,"5,374",1.3041,160,8.16%,"49,601","7,631",49,22.5190,21,516,60,"2,209",94,"3,396",3.7537,"5,587",1.3658,163,0,0,3,Materials,0.3125,Energy,0.2102,Enabling & Strategic Technologies,0.5795,660,579,"299,561"
"Murty, B. S.",Indian Institute of Technology Hyderabad,ind,468,1990,2024,"46,255","15,587",62,34.9480,1,11,35,"2,628",256,"8,782",3.7292,"12,002",1.2987,430,12.59%,"43,580","17,833",65,36.7647,1,17,35,"3,035",256,"10,026",3.7933,"12,955",1.3765,440,0,0,12,Materials,0.7094,Applied Physics,0.1218,Enabling & Strategic Technologies,0.7756,582,581,"299,561"
"Pati, Arun K.","International Institute of Information Technology, Hyderabad",ind,143,1991,2024,"46,563","4,780",34,21.9345,31,"1,127",57,"1,806",113,"3,866",3.7271,"3,648",1.3103,124,12.73%,"46,770","5,477",37,23.7179,31,"1,225",57,"1,967",113,"4,314",3.7720,"3,931",1.3933,128,0,0,2,General Physics,0.5000,Fluids & Plasmas,0.2254,Physics & Astronomy,0.9718,308,295,"78,538"
"Nair, Shantikumar","Amrita Vishwa Vidyapeetham University, Kochi",ind,467,1980,2024,"47,164","25,138",82,31.1393,2,32,31,"1,156",79,"2,932",3.7231,"20,467",1.2282,421,7.54%,"52,640","27,187",85,32.3659,2,33,31,"1,207",79,"3,145",3.7347,"21,148",1.2856,426,4,739,44,Nanoscience & Nanotechnology,0.1991,Polymers,0.1884,Enabling & Strategic Technologies,0.3854,559,525,"135,958"
"Surappa, M. K.","National Institute of Advanced Studies, Bangalore",ind,107,1978,2023,"47,290","4,833",32,21.3500,5,"1,206",17,"1,911",84,"3,856",3.7223,"4,005",1.2067,95,3.97%,"55,399","5,033",32,21.8500,5,"1,216",17,"1,945",84,"4,017",3.7183,"4,103",1.2267,98,0,0,14,Materials,0.7664,Mechanical Engineering & Transports,0.1495,Enabling & Strategic Technologies,0.7757,745,600,"299,561"
"Subbarao, E. C.",Tata Research Development and Design Centre,ind,117,1956,2019,"47,324","4,058",26,17.8762,32,"2,269",48,"3,000",97,"3,587",3.7220,"3,475",1.1678,93,1.05%,"57,102","4,101",26,17.8762,32,"2,283",48,"3,021",97,"3,614",3.7085,"3,498",1.1724,95,0,0,1,Materials,0.4553,Applied Physics,0.2764,Enabling & Strategic Technologies,0.5528,772,601,"299,561"
"Gadgil, Sulochana",Indian Institute of Science,ind,81,1971,2023,"47,390","6,106",32,17.5922,12,919,49,"2,956",68,"4,220",3.7215,"4,432",1.3777,75,8.43%,"51,065","6,668",34,18.4255,12,946,49,"3,156",68,"4,532",3.7442,"4,619",1.4436,75,0,0,2,Meteorology & Atmospheric Sciences,0.3750,Plant Biology & Botany,0.2375,Earth & Environmental Sciences,0.5375,808,706,"75,072"
"Mallick, Nirupama",Indian Institute of Technology Kharagpur,ind,129,1989,2024,"47,453","5,235",37,22.9409,4,613,27,"1,837",108,"4,563",3.7211,"4,317",1.2126,121,11.14%,"49,692","5,891",41,24.1409,4,618,27,"1,931",108,"5,087",3.7531,"4,512",1.3056,124,0,0,0,Biotechnology,0.2481,Environmental Sciences,0.1163,Enabling & Strategic Technologies,0.4186,138,128,"62,673"
"Mandal, Ajay","Indian Institute of Technology (Indian School of Mines), Dhanbad",ind,233,2003,2024,"47,602","8,177",50,30.9417,3,163,26,777,176,"6,939",3.7200,"5,094",1.6052,208,11.43%,"49,145","9,232",55,32.8917,3,168,26,849,176,"7,745",3.7569,"5,347",1.7266,211,0,0,4,Energy,0.4163,Chemical Engineering,0.2017,Enabling & Strategic Technologies,0.4936,621,594,"313,936"
"Tripathi, Dharmendra","National Institute of Technology, Uttarakhand",ind,225,2010,2024,"47,648","4,830",40,26.9000,15,497,61,"1,965",129,"3,187",3.7198,"2,567",1.8816,201,26.29%,"35,571","6,553",47,30.8500,15,673,61,"2,696",129,"4,353",3.8536,"3,076",2.1304,204,0,0,13,Mechanical Engineering & Transports,0.2044,Biomedical Engineering,0.1156,Engineering,0.4089,245,312,"143,311"
"Krishan, Kewal",Panjab University,ind,286,1997,2024,"47,845","37,393",47,15.0183,11,420,64,"1,604",122,"1,918",3.7183,"32,435",1.1529,227,14.27%,"43,038","43,619",53,16.2563,11,531,64,"1,927",122,"2,302",3.7971,"36,145",1.2068,240,0,0,23,Legal & Forensic Medicine,0.3042,General & Internal Medicine,0.1573,Clinical Medicine,0.7832,13,13,"14,394"
"Kumar, Sunil",National Institute of Technology Jamshedpur,ind,186,2010,2024,"47,888","5,542",41,21.8262,8,408,63,"2,766",117,"3,800",3.7179,"2,970",1.8660,162,15.83%,"44,469","6,584",46,23.9929,8,462,63,"3,250",117,"4,471",3.7873,"3,440",1.9140,170,0,0,4,Mechanical Engineering & Transports,0.1935,Applied Mathematics,0.1559,Physics & Astronomy,0.3495,307,315,"143,311"
"Pandit, Aniruddha Bhalchandra",Institute of Chemical Technology,ind,456,1982,2024,"47,917","22,727",81,47.6206,4,3,30,629,335,"18,269",3.7177,"15,676",1.4498,414,11.71%,"49,811","25,740",87,49.5206,4,3,30,774,335,"20,654",3.7524,"16,399",1.5696,424,0,0,23,Chemical Engineering,0.4004,Organic Chemistry,0.1903,Engineering,0.4558,196,181,"79,314"
"Ghoshal, Uday Chand",Sanjay Gandhi Postgraduate Institute of Medical Sciences,ind,381,1992,2024,"48,036","8,456",47,21.8398,20,243,122,"2,410",220,"3,671",3.7168,"7,072",1.1957,333,19.60%,"41,253","10,518",52,24.6171,20,298,122,"3,084",220,"4,588",3.8100,"7,876",1.3354,345,0,0,8,Gastroenterology & Hepatology,0.6026,Microbiology,0.0526,Clinical Medicine,0.9053,609,723,"103,730"
"Samantaray, Subhransu Ranjan",Indian Institute of Technology Bhubaneswar,ind,212,2004,2024,"48,067","5,893",43,27.0667,12,387,47,"1,595",142,"3,425",3.7166,"4,293",1.3727,178,7.89%,"51,953","6,398",45,29.1500,12,401,47,"1,667",142,"3,672",3.7390,"4,529",1.4127,183,1,6,9,Energy,0.6588,Electrical & Electronic Engineering,0.0853,Enabling & Strategic Technologies,0.6825,657,602,"313,936"
"Bajpai, A. K.",Government Model Science College India,ind,292,1994,2024,"48,164","6,668",36,26.3861,13,161,113,"3,233",243,"5,809",3.7160,"6,139",1.0862,252,11.03%,"45,970","7,495",40,27.7194,13,209,113,"3,744",243,"6,554",3.7771,"6,418",1.1678,258,1,6,15,Polymers,0.4138,Biomedical Engineering,0.0828,Chemistry,0.5310,434,428,"116,445"
"Bayry, Jagadeesh",Indian Institute of Technology Palakkad,ind,334,1999,2024,"48,220","10,430",54,20.8719,17,140,67,"2,001",188,"5,276",3.7156,"8,678",1.2019,302,20.43%,"43,548","13,108",58,23.6841,17,158,67,"2,498",188,"6,322",3.7936,"10,032",1.3066,308,1,20,14,Immunology,0.3091,Microbiology,0.0485,Clinical Medicine,0.7212,"1,293","1,432","157,372"
"Jacob, K. T.",Indian Institute of Science,ind,411,1970,2020,"48,498","6,345",32,22.7076,20,207,246,"4,666",368,"5,891",3.7138,"5,745",1.1044,350,11.74%,"49,180","7,189",33,24.7076,20,234,246,"5,244",368,"6,661",3.7566,"5,990",1.2002,372,0,0,1,Materials,0.6122,Energy,0.1000,Enabling & Strategic Technologies,0.7463,649,618,"299,561"
"Sarawagi, Sunita",Indian Institute of Technology Bombay,ind,110,1994,2024,"48,506","5,801",35,18.7074,13,671,27,"2,413",83,"4,867",3.7137,"5,198",1.1160,87,2.62%,"57,055","5,957",36,18.7074,13,683,27,"2,456",83,"4,991",3.7088,"5,296",1.1248,88,0,0,1,Artificial Intelligence & Image Processing,0.5273,Information Systems,0.2909,Information & Communication Technologies,0.9091,"1,129",994,"399,064"
"Maurya, Mannar R.",Indian Institute of Technology Roorkee,ind,196,1985,2024,"48,552","5,149",41,21.9528,7,248,148,"4,096",168,"4,303",3.7135,"3,325",1.5486,172,24.39%,"36,091","6,810",50,25.9723,7,322,148,"5,430",168,"5,694",3.8494,"3,624",1.8791,183,0,0,0,Inorganic & Nuclear Chemistry,0.5510,Physical Chemistry,0.1684,Chemistry,0.9745,231,288,"75,463"
"Dhar, Abhishek","Tata Institute of Fundamental Research, Mumbai",ind,147,1996,2024,"48,780","4,244",33,22.8167,7,"1,060",41,"2,012",95,"3,301",3.7121,"2,792",1.5201,132,14.44%,"47,775","4,960",37,24.4333,7,"1,125",41,"2,282",95,"3,809",3.7654,"3,068",1.6167,138,0,0,0,Fluids & Plasmas,0.4898,General Physics,0.2721,Physics & Astronomy,1.0000,434,416,"52,450"
"Shivaji, S.",L.V. Prasad Eye Institute India,ind,345,1975,2024,"48,961","8,440",48,26.6882,11,84,71,"2,002",273,"7,262",3.7109,"6,734",1.2533,323,17.47%,"43,828","10,226",54,29.3727,11,106,71,"2,340",273,"8,703",3.7915,"7,267",1.4072,326,0,0,1,Microbiology,0.4029,Obstetrics & Reproductive Medicine,0.1478,Biomedical Research,0.5913,"1,105","1,238","204,759"
"Karak, Niranjan",Tezpur University,ind,307,1996,2024,"48,989","8,483",48,30.4429,29,266,44,442,274,"7,190",3.7107,"7,125",1.1906,270,18.03%,"42,509","10,349",55,33.4952,29,322,44,571,274,"8,757",3.8006,"7,503",1.3793,278,1,72,8,Polymers,0.3987,Organic Chemistry,0.1329,Chemistry,0.6777,405,438,"116,445"
"Bhatia, Rajendra",Ashoka University,ind,131,1979,2024,"49,066","3,808",26,18.8333,31,"1,475",128,"3,564",130,"3,808",3.7102,"2,939",1.2957,115,9.33%,"48,107","4,200",29,21.3333,31,"1,550",128,"3,936",130,"4,200",3.7633,"3,054",1.3752,117,0,0,0,Numerical & Computational Mathematics,0.4198,General Mathematics,0.4046,Mathematics & Statistics,0.8931,78,77,"16,443"
"Kuttan, Girija",Amala Cancer Hospital and Research Centre,ind,217,1988,2019,"49,072","9,786",49,34.0833,3,126,17,619,170,"6,942",3.7101,"7,732",1.2656,212,7.36%,"50,940","10,564",52,35.9167,3,144,17,699,170,"7,580",3.7449,"7,967",1.3260,214,0,0,18,Oncology & Carcinogenesis,0.2627,Immunology,0.2074,Clinical Medicine,0.7972,"2,099","2,115","334,837"
"Biju, Akkattu T.",Indian Institute of Science,ind,153,2003,2024,"49,109","8,318",47,24.0286,5,198,11,"1,326",125,"6,145",3.7099,"4,860",1.7115,145,13.33%,"48,589","9,597",52,25.2786,5,222,11,"1,495",125,"7,120",3.7604,"5,074",1.8914,145,0,0,2,Organic Chemistry,0.8041,General Chemistry,0.1284,Chemistry,1.0000,954,919,"170,049"
"Rajeevan, M.",Atria University,ind,185,1993,2024,"49,266","9,813",46,19.9681,9,131,31,"3,140",109,"5,528",3.7090,"6,224",1.5766,170,11.63%,"49,104","11,104",50,21.9578,9,147,31,"3,365",109,"6,172",3.7572,"6,704",1.6563,172,0,0,8,Meteorology & Atmospheric Sciences,0.6940,Plant Biology & Botany,0.0874,Earth & Environmental Sciences,0.8470,772,731,"75,072"
"Kumar, Anil",Chandra Shekhar Azad University of Agriculture & Technology,ind,421,1977,2024,"49,412","8,221",43,25.8372,10,86,91,"3,296",233,"5,811",3.7081,"7,581",1.0844,353,9.49%,"52,660","9,083",47,27.7878,10,87,91,"3,383",233,"6,162",3.7345,"8,109",1.1201,362,0,0,10,Pharmacology & Pharmacy,0.1905,Medicinal & Biomolecular Chemistry,0.1476,Clinical Medicine,0.4357,439,410,"148,458"
"Swaminathan, Soumya",Indian Council of Medical Research,ind,429,1989,2024,"49,454","49,321",58,20.9203,16,50,69,"1,387",221,"3,861",3.7079,"44,847",1.0998,387,12.11%,"48,146","56,117",63,22.9265,16,56,69,"1,600",221,"4,446",3.7631,"49,096",1.1430,394,0,0,41,Microbiology,0.3326,General & Internal Medicine,0.1148,Biomedical Research,0.4590,"1,213","1,250","204,759"
"Kumar, Jyant",Indian Institute of Science,ind,198,1994,2024,"49,607","3,725",36,28.8333,21,428,98,"2,299",191,"3,654",3.7068,"1,939",1.9211,178,20.25%,"44,746","4,671",40,30.1667,21,530,98,"2,867",191,"4,570",3.7854,"2,165",2.1575,186,0,0,1,Geological & Geomatics Engineering,0.7273,"Strategic, Defence & Security Studies",0.0354,Engineering,0.8838,195,214,"69,076"
"Kotha, Sambasivarao",Indian Institute of Technology Bombay,ind,331,1992,2024,"49,670","6,107",33,21.7611,2,162,321,"5,835",327,"5,958",3.7063,"5,144",1.1872,261,39.68%,"20,759","10,125",58,31.8778,2,223,321,"9,757",327,"9,927",4.0043,"5,488",1.8449,296,0,0,3,Organic Chemistry,0.7976,General Chemistry,0.0634,Chemistry,0.9698,456,933,"170,049"
"Saha Ray, S.",National Institute of Technology Rourkela,ind,250,2004,2024,"49,865","3,571",31,25.5333,51,914,112,"2,116",239,"3,421",3.7052,"2,670",1.3375,229,20.71%,"42,679","4,504",35,28.1167,51,"1,163",112,"2,631",239,"4,288",3.7994,"2,934",1.5351,234,0,0,3,Numerical & Computational Mathematics,0.1767,Applied Mathematics,0.1727,Mathematics & Statistics,0.4458,64,79,"16,443"
"Rao, Gullapalli N.",L.V. Prasad Eye Institute India,ind,294,1977,2024,"49,888","9,611",55,24.6278,18,151,41,729,232,"8,198",3.7050,"7,493",1.2827,257,13.51%,"47,719","11,112",60,26.8373,18,183,41,821,232,"9,456",3.7658,"8,032",1.3835,264,0,0,5,Ophthalmology & Optometry,0.8362,General & Internal Medicine,0.0239,Clinical Medicine,0.9659,288,309,"77,284"
"Nagini, Siddavaram",Annamalai University,ind,211,1986,2024,"49,957","6,853",43,24.4417,6,451,30,718,184,"6,320",3.7045,"5,421",1.2642,189,14.47%,"47,422","8,012",48,27.7195,6,472,30,821,184,"7,323",3.7677,"5,655",1.4168,204,0,0,23,Oncology & Carcinogenesis,0.1991,Nutrition & Dietetics,0.1280,Clinical Medicine,0.4882,"1,972","2,148","334,837"
"Pandey, Siddharth",Indian Institute of Technology Delhi,ind,174,1994,2024,"49,963","6,691",40,21.1845,2,680,28,988,120,"5,071",3.7045,"4,742",1.4110,169,17.84%,"45,477","8,144",45,23.9274,2,719,28,"1,208",120,"6,072",3.7804,"5,125",1.5891,171,0,0,2,Chemical Physics,0.4253,Organic Chemistry,0.1322,Physics & Astronomy,0.4425,"1,020","1,035","106,831"
"Kidwai, Mazaahir",University of Delhi,ind,229,1990,2023,"49,984","5,599",37,21.4635,7,163,219,"5,373",224,"5,514",3.7044,"4,761",1.1760,215,14.22%,"46,116","6,527",40,23.9635,7,203,219,"6,291",224,"6,438",3.7760,"4,985",1.3093,216,0,0,9,Organic Chemistry,0.5284,General Chemistry,0.2227,Chemistry,0.9432,912,939,"170,049"
"Reddy, Narendra",Jyothy Institute of Technology,ind,217,2004,2024,"50,179","7,380",46,24.5794,7,67,84,"4,514",147,"5,579",3.7031,"6,326",1.1666,196,12.72%,"48,520","8,456",50,27.6072,7,75,84,"5,082",147,"6,331",3.7608,"6,635",1.2745,200,0,0,5,Polymers,0.2817,Biotechnology,0.1408,Chemistry,0.3615,458,448,"116,445"
"Paria, Santanu",National Institute of Technology Rourkela,ind,63,2001,2021,"50,294","7,346",30,20.2000,2,461,12,"1,909",62,"7,316",3.7025,"6,944",1.0579,63,2.21%,"58,292","7,512",31,20.7000,2,463,12,"1,942",62,"7,482",3.7012,"7,012",1.0713,63,0,0,2,Chemical Physics,0.2857,Chemical Engineering,0.2063,Chemistry,0.3492,"1,273","1,039","106,831"
"Chokshi, Atul H.",Indian Institute of Science,ind,146,1982,2024,"50,324","4,850",33,21.9000,34,613,59,"2,384",131,"4,258",3.7022,"3,960",1.2247,132,12.25%,"48,909","5,527",36,23.9000,34,713,59,"2,682",131,"4,833",3.7584,"4,190",1.3191,139,0,0,0,Materials,0.8836,Applied Physics,0.0205,Enabling & Strategic Technologies,0.9110,645,646,"299,561"
